A120##0000##Mahmoud Mohamed##01019045321##6905.000000##0
A150##0000##Mahmoud Adham##01017045321##3700.000000##1
A160##0000##Ali Maher##01138961370##4000.000000##0
A190##0000##Asmaa Adel##0100446970##1200.000000##0
A200##0000##Rahma Emad##01591608367##2500.000000##0
A145##0000##Ahmed Esam##01551729863##7500.500000##0
S400##0000##Salah Ibraheem##01128961180##4000.000000##0
V200##0000##Ysmeem Osama##0124536936##1200.000000##0
X900##0000##Rahma Emad##01551628763##2500.000000##0
N937##0000##Mahmoud Mattar##01019060452##7602.000000##0
E744##0000##Shimaa Hesham##01251728863##7500.580000##0
G326##0000##Bahaa Ahmed##01252978263##8500.470000##0
F890##0000##Ahmed Nabil##01052074263##8500.980000##0
W7899##0000##Mohamed Ali Salah##01129816607##4000.000000##0
