A120##1231##Mahmoud Mohamed##01019045321##5000.00
A150##9999##Mahmoud Adham##01017045321##5000.00
A160##4032##Ali Maher##01138961370##4000.00
A190##4687##Asmaa Adel##0100446970##1200.00
A200##7777##Rahma Emad##01591608367##2500.00
A145##3230##Ahmed Esam##01551729863##7500.50
S400##4553##Salah Ibraheem##01128961180##4000.00
V200##4783##Ysmeem Osama##0124536936##1200.00
X900##7611##Rahma Emad##01551628763##2500.00
N937##1236##Mahmoud Mattar##01019060452##7602.60
E744##3732##Shimaa Hesham##01251728863##7500.50
G326##3394##Bahaa Ahmed##01252978263##8500.50
F890##9454##Ahmed Nabil##01052074263##8500.50
W7899##7412##Mohamed Ali Salah##01129816607##4000.000000
